nmi,read_type,meter_number,from_date,to_date,unit_of_measure,tariff_description,quantity
6203808917,R,DZ114328-000:1,26/06/2025,17/07/2025,kWh,Solar,68
6203808917,R,DZ114328-000:2,26/06/2025,17/07/2025,kWh,Peak,93
6203808917,R,DZ114328-000:3,26/06/2025,17/07/2025,kWh,Off Peak,996
6203808917,R,DZ114328-000:1,18/07/2025,17/08/2025,kWh,Solar,255
6203808917,R,DZ114328-000:2,18/07/2025,17/08/2025,kWh,Peak,119
6203808917,R,DZ114328-000:3,18/07/2025,17/08/2025,kWh,Off Peak,1142
6203808917,R,DZ114328-000:1,18/08/2025,17/09/2025,kWh,Solar,495
6203808917,R,DZ114328-000:2,18/08/2025,17/09/2025,kWh,Peak,70
6203808917,R,DZ114328-000:3,18/08/2025,17/09/2025,kWh,Off Peak,1070
6203808917,R,DZ114328-000:1,18/09/2025,17/10/2025,kWh,Solar,821
6203808917,R,DZ114328-000:2,18/09/2025,17/10/2025,kWh,Peak,68
6203808917,R,DZ114328-000:3,18/09/2025,17/10/2025,kWh,Off Peak,973
6203808917,R,DZ114328-000:1,18/10/2025,17/11/2025,kWh,Solar,1072
6203808917,R,DZ114328-000:2,18/10/2025,17/11/2025,kWh,Peak,83
6203808917,R,DZ114328-000:3,18/10/2025,17/11/2025,kWh,Off Peak,807
6203808917,R,DZ114328-000:1,18/11/2025,17/12/2025,kWh,Solar,1432
6203808917,R,DZ114328-000:2,18/11/2025,17/12/2025,kWh,Peak,33
6203808917,R,DZ114328-000:3,18/11/2025,17/12/2025,kWh,Off Peak,660
6203808917,R,DZ114328-000:1,18/12/2025,17/01/2026,kWh,Solar,1503
6203808917,R,DZ114328-000:2,18/12/2025,17/01/2026,kWh,Peak,35
6203808917,R,DZ114328-000:3,18/12/2025,17/01/2026,kWh,Off Peak,802
6203808917,R,DZ114328-000:1,18/01/2026,17/02/2026,kWh,Solar,1658
6203808917,R,DZ114328-000:2,18/01/2026,17/02/2026,kWh,Peak,34
6203808917,R,DZ114328-000:3,18/01/2026,17/02/2026,kWh,Off Peak,661
6203808917,R,DZ114328-000:1,18/02/2026,17/03/2026,kWh,Solar,1068
6203808917,R,DZ114328-000:2,18/02/2026,17/03/2026,kWh,Peak,17
6203808917,R,DZ114328-000:3,18/02/2026,17/03/2026,kWh,Off Peak,827
6203808917,R,DZ114328-000:1,18/03/2026,17/04/2026,kWh,Solar,938
6203808917,R,DZ114328-000:2,18/03/2026,17/04/2026,kWh,Peak,103
6203808917,R,DZ114328-000:3,18/03/2026,17/04/2026,kWh,Off Peak,601
6203808917,R,DZ114328-000:1,18/04/2026,17/05/2026,kWh,Solar,685
6203808917,R,DZ114328-000:2,18/04/2026,17/05/2026,kWh,Peak,40
6203808917,R,DZ114328-000:3,18/04/2026,17/05/2026,kWh,Off Peak,774
6203808917,R,DZ114328-000:1,18/05/2026,18/06/2026,kWh,Solar,258
6203808917,R,DZ114328-000:2,18/05/2026,18/06/2026,kWh,Peak,234
6203808917,R,DZ114328-000:3,18/05/2026,18/06/2026,kWh,Off Peak,914
6203808917,R,DZ114328-000:1,19/06/2026,17/07/2026,kWh,Solar,192
6203808917,R,DZ114328-000:2,19/06/2026,17/07/2026,kWh,Peak,236
6203808917,R,DZ114328-000:3,19/06/2026,17/07/2026,kWh,Off Peak,1397
