nmi,quality_method,meter_number,date,unit_of_measure,tariff_description,00:00-00:30,00:30-01:00,01:00-01:30,01:30-02:00,02:00-02:30,02:30-03:00,03:00-03:30,03:30-04:00,04:00-04:30,04:30-05:00,05:00-05:30,05:30-06:00,06:00-06:30,06:30-07:00,07:00-07:30,07:30-08:00,08:00-08:30,08:30-09:00,09:00-09:30,09:30-10:00,10:00-10:30,10:30-11:00,11:00-11:30,11:30-12:00,12:00-12:30,12:30-13:00,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00,20:00-20:30,20:30-21:00,21:00-21:30,21:30-22:00,22:00-22:30,22:30-23:00,23:00-23:30,23:30-00:00
6203808917,Actual,DZ114328,26/06/2025,kWh,consumption,1.325,1.325,1.338,1.413,1.388,1.400,1.363,1.350,1.600,2.300,2.275,2.238,7.363,6.813,3.188,1.238,1.300,0.700,1.150,0.275,0.163,0.263,0.025,0.250,0.013,0.225,0.000,0.588,0.650,0.963,0.138,0.000,0.188,0.013,1.438,1.263,1.213,1.175,0.688,0.350,1.238,1.238,1.213,2.175,1.388,1.238,1.363,1.325
6203808917,Actual,DZ114328,26/06/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.225,0.000,0.088,0.100,0.113,0.013,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,27/06/2025,kWh,consumption,1.275,1.288,1.325,1.413,1.425,2.263,2.250,2.013,1.300,1.313,1.275,1.275,6.800,6.775,3.650,1.225,1.213,0.113,0.025,0.000,0.013,0.025,0.013,0.000,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.013,0.000,0.013,0.025,1.225,2.138,2.138,2.175,2.175,1.963
6203808917,Actual,DZ114328,27/06/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.025,0.138,0.038,0.150,0.138,0.025,0.050,1.813,2.250,2.075,1.350,0.275,0.350,0.038,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,28/06/2025,kWh,consumption,1.888,2.588,2.263,1.763,0.388,0.688,1.313,1.300,1.313,1.300,1.275,1.288,6.788,6.800,6.863,2.900,1.188,1.225,1.013,1.075,1.325,1.788,1.263,0.863,0.000,0.000,0.000,0.000,1.300,3.125,3.350,1.250,0.013,0.000,0.000,0.013,0.013,0.813,0.675,0.463,0.613,0.500,1.750,1.638,2.225,1.850,2.000,1.300
6203808917,Actual,DZ114328,28/06/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.563,0.913,0.313,1.088,0.838,0.000,0.000,0.000,0.013,0.000,0.013,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,29/06/2025,kWh,consumption,1.313,1.888,2.813,2.125,0.400,0.350,0.363,0.363,0.363,1.488,2.413,2.363,7.550,6.900,6.263,1.288,1.175,1.213,0.938,0.925,0.638,1.388,0.213,1.075,1.675,1.750,0.800,0.025,0.363,0.250,0.013,0.075,1.513,1.275,1.425,1.513,1.513,1.413,1.375,1.363,2.100,2.288,2.475,2.825,1.975,1.450,0.563,0.450
6203808917,Actual,DZ114328,29/06/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.613,0.463,0.013,0.013,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,30/06/2025,kWh,consumption,0.325,0.325,0.963,1.413,0.338,0.338,0.350,0.325,0.338,0.338,0.300,1.263,6.850,6.863,7.213,8.200,5.800,1.225,0.013,0.288,0.063,0.013,0.025,0.013,0.038,0.038,0.088,0.013,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.013,0.000,0.013,0.000,0.038,1.088,1.525,1.463,2.113,1.350,1.738
6203808917,Actual,DZ114328,30/06/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.350,0.050,0.088,0.013,0.050,0.113,0.113,0.463,1.725,1.263,0.625,0.125,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,01/07/2025,kWh,consumption,2.025,1.275,1.275,1.275,0.313,0.300,0.313,0.313,0.313,0.763,1.738,2.675,2.550,1.713,1.475,1.525,1.488,0.788,0.900,0.200,0.013,0.000,0.013,0.013,0.013,0.000,0.013,0.013,0.000,0.013,0.013,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.013,0.525,1.488,1.375,1.650,2.575,2.550
6203808917,Actual,DZ114328,01/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.025,0.038,0.000,0.013,0.000,0.138,0.050,0.000,0.013,0.013,0.000,0.550,0.288,0.013,0.013,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,02/07/2025,kWh,consumption,2.313,2.088,1.588,1.788,0.450,0.650,0.525,0.713,0.588,0.538,0.488,1.350,7.300,6.850,7.000,3.450,1.913,2.013,1.850,1.263,0.588,1.150,1.125,1.188,1.388,1.325,1.150,1.550,1.400,1.338,0.013,0.000,0.313,1.663,1.613,1.413,1.938,2.313,1.338,0.413,0.575,0.413,1.250,2.288,2.188,1.888,1.300,1.300
6203808917,Actual,DZ114328,02/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,03/07/2025,kWh,consumption,1.300,1.388,1.988,1.963,1.738,1.238,0.800,0.575,0.363,0.350,0.325,1.325,1.463,1.675,2.225,2.188,2.038,0.300,0.600,0.375,0.013,0.013,0.025,0.000,0.288,0.263,0.025,0.000,0.013,0.000,0.013,0.000,0.013,0.013,0.000,0.000,0.013,0.313,0.975,0.388,1.675,1.300,0.738,1.363,1.300,2.400,3.138,2.313
6203808917,Actual,DZ114328,03/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.013,0.013,0.013,0.050,0.038,0.000,0.013,0.000,0.013,0.013,0.000,0.013,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,04/07/2025,kWh,consumption,1.763,2.113,2.175,1.975,1.025,1.025,1.025,1.013,1.700,1.925,1.938,3.175,8.688,7.425,7.425,7.475,2.863,1.125,1.188,0.075,0.413,0.038,0.000,0.000,0.000,0.000,0.000,1.025,0.438,0.013,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.038,0.163,2.638,2.538,1.900,2.188,1.725,1.638
